ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416297958.05603,template1,0,0,0,0,0,0,0,0,0,0
1416297958.05603,template0,0,0,0,0,0,0,0,0,0,0
1416297958.05603,postgres,0,6775,31,59232,213380,2255024,87316,0,0,0
1416297958.05603,dbt3,12,116491,39,7221975596,13247146719,257890152140,80819806067,2366641301,14783,23134208
1416298018.05714,template1,0,0,0,0,0,0,0,0,0,0
1416298018.05714,template0,0,0,0,0,0,0,0,0,0,0
1416298018.05714,postgres,0,6777,31,59232,213435,2255686,87327,0,0,0
1416298018.05714,dbt3,7,116572,39,7222466242,13248756347,257935567425,80819814919,2378241605,14858,23134214
1416298078.06092,template1,0,0,0,0,0,0,0,0,0,0
1416298078.06092,template0,0,0,0,0,0,0,0,0,0,0
1416298078.06092,postgres,0,6779,31,59232,213490,2256348,87338,0,0,0
1416298078.06092,dbt3,5,116608,39,7222970814,13250323734,257995577883,80819818921,2393241669,14859,23134214
1416298138.06144,template1,0,0,0,0,0,0,0,0,0,0
1416298138.06144,template0,0,0,0,0,0,0,0,0,0,0
1416298138.06144,postgres,0,6781,31,59232,213545,2257010,87349,0,0,0
1416298138.06144,dbt3,6,116629,39,7222970814,13250329709,257995586884,80819821516,2393241669,14859,23134214
1416298198.06308,template1,0,0,0,0,0,0,0,0,0,0
1416298198.06308,template0,0,0,0,0,0,0,0,0,0,0
1416298198.06308,postgres,0,6783,31,59232,213600,2257672,87360,0,0,0
1416298198.06308,dbt3,4,116649,39,7222970814,13250335840,257995595951,80819824179,2393241669,14859,23134214
1416298258.06823,template1,0,0,0,0,0,0,0,0,0,0
1416298258.06823,template0,0,0,0,0,0,0,0,0,0,0
1416298258.06823,postgres,0,6785,31,59232,213655,2258334,87371,0,0,0
1416298258.06823,dbt3,5,116674,39,7222970814,13250342277,257995605156,80819826976,2393241669,14859,23134214
1416298318.06736,template1,0,0,0,0,0,0,0,0,0,0
1416298318.06736,template0,0,0,0,0,0,0,0,0,0,0
1416298318.06736,postgres,0,6787,31,59232,213710,2258996,87382,0,0,0
1416298318.06736,dbt3,13,116706,39,7224036494,13252656378,257995614280,80819829686,2453227721,14859,23134214
1416298378.06949,template1,0,0,0,0,0,0,0,0,0,0
1416298378.06949,template0,0,0,0,0,0,0,0,0,0,0
1416298378.06949,postgres,0,6789,31,59232,213765,2259658,87393,0,0,0
1416298378.06949,dbt3,13,116730,39,7224036494,13252662565,257995623373,80819832373,2453227721,14859,23134214
1416298438.07128,template1,0,0,0,0,0,0,0,0,0,0
1416298438.07128,template0,0,0,0,0,0,0,0,0,0,0
1416298438.07128,postgres,0,6791,31,59232,213820,2260320,87404,0,0,0
1416298438.07128,dbt3,8,116753,39,7225072340,13253764117,258115604862,80819835325,2453227733,14859,23134214
1416298498.07752,template1,0,0,0,0,0,0,0,0,0,0
1416298498.07752,template0,0,0,0,0,0,0,0,0,0,0
1416298498.07752,postgres,0,6793,31,59232,213875,2260982,87415,0,0,0
1416298498.07752,dbt3,10,116781,39,7225072340,13253770617,258115614141,80819838147,2453227733,14859,23134214
1416298558.07974,template1,0,0,0,0,0,0,0,0,0,0
1416298558.07974,template0,0,0,0,0,0,0,0,0,0,0
1416298558.07974,postgres,0,6795,31,59232,213930,2261644,87426,0,0,0
1416298558.07974,dbt3,8,116807,39,7225655793,13254259376,258175610115,80819841292,2453227741,14859,23134214
1416298618.08254,template1,0,0,0,0,0,0,0,0,0,0
1416298618.08254,template0,0,0,0,0,0,0,0,0,0,0
1416298618.08254,postgres,0,6797,31,59232,213985,2262306,87437,0,0,0
1416298618.08254,dbt3,8,116831,39,7225655793,13254265611,258175619298,80819843997,2453227741,14859,23134214
1416298678.08145,template1,0,0,0,0,0,0,0,0,0,0
1416298678.08145,template0,0,0,0,0,0,0,0,0,0,0
1416298678.08145,postgres,0,6799,31,59232,214040,2262968,87448,0,0,0
1416298678.08145,dbt3,9,116854,39,7227779277,13254278977,258295600224,80819846660,2453227749,14861,23134214
1416298738.08329,template1,0,0,0,0,0,0,0,0,0,0
1416298738.08329,template0,0,0,0,0,0,0,0,0,0,0
1416298738.08329,postgres,0,6801,31,59232,214095,2263630,87459,0,0,0
1416298738.08329,dbt3,7,116880,39,7229898011,13254297726,258415581829,80819849655,2453227759,14861,23134214
1416298798.08531,template1,0,0,0,0,0,0,0,0,0,0
1416298798.08531,template0,0,0,0,0,0,0,0,0,0,0
1416298798.08531,postgres,0,6803,31,59232,214150,2264292,87470,0,0,0
1416298798.08531,dbt3,3,116902,39,7230829766,13254437867,258475577394,80819852606,2453227767,14861,23134214
1416298858.08688,template1,0,0,0,0,0,0,0,0,0,0
1416298858.08688,template0,0,0,0,0,0,0,0,0,0,0
1416298858.08688,postgres,0,6805,31,59232,214205,2264954,87481,0,0,0
1416298858.08688,dbt3,2,116925,39,7230829766,13254444141,258475586685,80819855324,2453227767,14861,23134214
